,nbrepos,Total Star,Average
bailicangdu,13,45598,3507
kamranahmedse,44,100183,2276
vinta,32,58600,1831
mrdoob,35,55925,1597
IanLunn,18,25244,1402
sebastianbergmann,60,83348,1389
junyanz,14,19246,1374
nolimits4web,14,18752,1339
ruanyf,53,67130,1266
JakeWharton,100,107334,1073
binux,20,17118,855
gorhill,24,20435,851
photonstorm,34,27017,794
toddmotto,76,58674,772
connors,14,9016,644
kennethreitz,99,62224,628
Unknwon,36,22477,624
fzaninotto,44,23705,538
krzysztofzablocki,38,19122,503
mdo,40,19270,481
jaywcjlove,74,35336,477
amitshekhariitbhu,37,17640,476
ded,26,11362,437
dennybritz,52,22747,437
mikepenz,55,23112,420
Draveness,33,13250,401
steipete,44,17673,401
daylerees,32,12419,388
LeaVerou,61,23723,388
tj,269,97853,363
mxcl,33,11803,357
vczh,6,2084,347
zenorocha,114,39531,346
rtomayko,24,8289,345
Shougo,63,21659,343
CamDavidsonPilon,54,18122,335
JohnSundell,49,15781,322
overtrue,69,21255,308
avelino,127,38365,302
SamyPesse,73,21945,300
winterbe,44,12833,291
chjj,67,19489,290
holman,51,14579,285
ai,59,16640,282
nikic,49,13812,281
drakeet,23,5956,258
jgm,73,17286,236
anishathalye,57,12845,225
yeasy,74,16180,218
eduardolundgren,37,8058,217
kylef,31,6699,216
developit,272,57447,211
onevcat,156,32193,206
paulmillr,57,11384,199
samuelclay,27,5321,197
jendewalt,6,1180,196
jverkoey,52,10086,193
matyhtf,20,3849,192
josephmisiti,194,37174,191
ankane,187,35673,190
BurntSushi,139,26272,189
nvie,131,23750,181
StephenGrider,86,15291,177
buckyroberts,34,5919,174
mitchellh,95,15548,163
alexjlockwood,42,6862,163
be5invis,51,8278,162
bevacqua,290,45012,155
HugoGiraudel,40,6114,152
oldratlee,43,6502,151
chenglou,142,20589,144
feross,123,17675,143
phodal,277,37882,136
soffes,151,19995,132
gaearon,229,30178,131
leah,19,2450,128
remy,239,30313,126
notwaldorf,77,9705,126
mgechev,242,30442,125
evilsocket,108,12884,119
rauchg,110,13138,119
eliben,37,4425,119
carpedm20,184,21624,117
jessfraz,109,12647,116
GrahamCampbell,30,3326,110
rnystrom,64,7079,110
KittenYang,96,10340,107
KrauseFx,113,11488,101
jxnblk,278,28035,100
rstacruz,475,47040,99
josevalim,23,2257,98
wesm,96,9224,96
ebidel,73,6801,93
rakyll,174,16015,92
ianstormtaylor,184,16564,90
weavejester,143,12526,87
